nct_id,source,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,registration_year,start_year,completion_year,is_prospective,registry_download_date,results_due_date,results_due,days_pcd_to_summary,is_summary_results_1y_pcd,summary_results_reporting
NCT02388165,CRU trials_12Sep2023.xlsx,2020-12-11,2015-03-09,2020-06-05,Interventional,Phase 2,3450,Terminated,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,2015-07-02T00:00:00Z,2019-06-27T00:00:00Z,2019-06-26T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,2015,2015,2019,TRUE,2023-11-11,2020-06-25,TRUE,345,TRUE,results_timely
NCT02398656,CRU trials_12Sep2023.xlsx,2022-05-16,2015-03-20,NA,Interventional,Phase 3,1274,Recruiting,A Randomized Controlled Trial of TNK-tPA Versus Standard of Care for Minor Ischemic Stroke With Proven Occlusion,2015-04-01T00:00:00Z,2024-12-01T00:00:00Z,2024-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,2015,2015,2024,TRUE,2023-11-11,2025-12-01,FALSE,NA,NA,results_not_due
NCT02414165,CRU trials_12Sep2023.xlsx,2020-02-06,2015-04-03,NA,Interventional,Phase 2/Phase 3,403,Terminated,The Toca 5 Trial: Toca 511 & Toca FC Versus Standard of Care in Patients With Recurrent High Grade Glioma,2015-11-30T00:00:00Z,2019-12-20T00:00:00Z,2019-05-31T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,2015,2015,2019,TRUE,2023-11-11,2020-05-30,TRUE,NA,NA,results_due_missing
NCT02485600,CRU trials_12Sep2023.xlsx,2021-06-23,2015-06-26,NA,Observational,NA,88,Completed,Observational Study Evaluating Long-term Health Outcomes of Canadian DUODOPA-treated Patients,2015-10-19T00:00:00Z,2020-02-26T00:00:00Z,2020-02-26T00:00:00Z,FALSE,NA,NA,INDUSTRY,TRUE,2015,2015,2020,TRUE,2023-11-11,2021-02-25,TRUE,NA,NA,results_due_missing
NCT02547818,CRU trials_12Sep2023.xlsx,2021-11-08,2015-09-10,NA,Interventional,Phase 3,620,Completed,Safety and Efficacy Study of ALZT-OP1 in Subjects With Evidence of Early Alzheimer's Disease,2015-09-15T00:00:00Z,2020-11-18T00:00:00Z,2020-11-13T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,2015,2015,2020,TRUE,2023-11-11,2021-11-13,TRUE,NA,NA,results_due_missing
NCT02623699,CRU trials_12Sep2023.xlsx,2023-07-07,2015-11-24,2023-05-17,Interventional,Phase 3,176,Completed,"An Efficacy, Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of BIIB067 (Tofersen) in Adults With Inherited Amyotrophic Lateral Sclerosis (ALS)",2016-01-20T00:00:00Z,2021-07-16T00:00:00Z,2021-07-16T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2015,2016,2021,TRUE,2023-11-11,2022-07-16,TRUE,670,FALSE,results_due_late
NCT02638207,CRU trials_12Sep2023.xlsx,2021-01-28,2015-12-16,2020-09-03,Interventional,Phase 3,142,Completed,Study to Evaluate Safety and Efficacy of Three Different Dosages of NewGam in Patients With Chronic Inflammatory Demyelinating Poly (Radiculo) Neuropathy,2017-09-27T00:00:00Z,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2015,2017,2019,TRUE,2023-11-11,2020-09-04,TRUE,364,TRUE,results_timely
NCT02655614,CRU trials_12Sep2023.xlsx,2020-08-04,2016-01-07,NA,Interventional,Phase 1,54,Completed,"A Study of GDC-0134 to Determine Initial Safety, Tolerability, and Pharmacokinetic Parameters in Participants With Amyotrophic Lateral Sclerosis",2016-05-31T00:00:00Z,2020-03-16T00:00:00Z,2020-03-16T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE,2016,2016,2020,TRUE,2023-11-11,2021-03-16,TRUE,NA,NA,results_due_missing
NCT02667587,CRU trials_12Sep2023.xlsx,2023-11-03,2016-01-26,2021-11-30,Interventional,Phase 3,716,"Active, not recruiting","An Investigational Immuno-therapy Study of Temozolomide Plus Radiation Therapy With Nivolumab or Placebo, for Newly Diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)",2016-05-09T00:00:00Z,2024-02-19T00:00:00Z,2020-12-22T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,2016,2016,2024,TRUE,2023-11-11,2021-12-22,TRUE,343,TRUE,results_timely
NCT02685605,TheNeuro_registered_clinical_trials.csv;CRU trials_12Sep2023.xlsx;registry-org-name-query,2023-05-09,2016-02-05,NA,Interventional,Phase 3,314,Recruiting,Intraoperative Radiotherapy in Newly Diagnosed Glioblastoma Multiforme,2016-12-09T00:00:00Z,2024-03-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,2016,2016,2024,TRUE,2023-11-11,2024-11-30,FALSE,NA,NA,results_not_due
NCT02688985,CRU trials_12Sep2023.xlsx,2023-08-28,2016-02-18,NA,Interventional,Phase 3,132,Completed,Study to Explore the Mechanism of Action of Ocrelizumab and B-Cell Biology in Participants With Relapsing Multiple Sclerosis (RMS) or Primary Progressive Multiple Sclerosis (PPMS),2016-04-29T00:00:00Z,2023-04-11T00:00:00Z,2023-04-11T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,2016,2016,2023,TRUE,2023-11-11,2024-04-10,FALSE,NA,NA,results_not_due
NCT02782741,CRU trials_12Sep2023.xlsx,2023-06-01,2016-05-23,2021-03-12,Interventional,Phase 3,100,Completed,Study to Compare the Efficacy and Safety of Enzyme Replacement Therapies Avalglucosidase Alfa and Alglucosidase Alfa Administered Every Other Week in Patients With Late-onset Pompe Disease Who Have Not Been Previously Treated for Pompe Disease,2016-11-02T00:00:00Z,2023-05-31T00:00:00Z,2020-03-19T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2016,2016,2023,TRUE,2023-11-11,2021-03-19,TRUE,358,TRUE,results_timely
NCT02792218,CRU trials_12Sep2023.xlsx,2021-09-03,2016-06-02,2020-09-18,Interventional,Phase 3,930,Completed,Efficacy and Safety of Ofatumumab Compared to Teriflunomide in Patients With Relapsing Multiple Sclerosis,2016-09-20T00:00:00Z,2020-07-20T00:00:00Z,2019-07-05T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2016,2016,2020,TRUE,2023-11-11,2020-07-04,TRUE,441,FALSE,results_due_late
NCT02796261,CRU trials_12Sep2023.xlsx,2022-01-19,2016-06-03,NA,Interventional,Phase 3,343,"Active, not recruiting",Study to Evaluate Eflornithine + Lomustine vs Lomustine in Recurrent Anaplastic Astrocytoma (AA) Patients,2016-07-01T00:00:00Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,2016,2016,2023,TRUE,2023-11-11,2024-05-31,FALSE,NA,NA,results_not_due
NCT02906020,CRU trials_12Sep2023.xlsx,2022-05-03,2016-09-14,2021-12-16,Interventional,Phase 2,273,Terminated,"A Global Study to Assess the Drug Dynamics, Efficacy, and Safety of Venglustat (GZ/SAR402671) in Parkinson's Disease Patients Carrying a Glucocerebrosidase (GBA) Gene Mutation",2016-12-15T00:00:00Z,2021-05-27T00:00:00Z,2020-12-18T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,2016,2016,2021,TRUE,2023-11-11,2021-12-18,TRUE,363,TRUE,results_timely
NCT02927080,CRU trials_12Sep2023.xlsx,2022-09-14,2016-10-05,2020-09-18,Interventional,Phase 2,95,Terminated,Study of ACE-083 in Patients With Facioscapulohumeral Muscular Dystrophy (FSHD),2016-11-01T00:00:00Z,2019-10-09T00:00:00Z,2019-09-17T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2016,2016,2019,TRUE,2023-11-11,2020-09-16,TRUE,367,FALSE,results_due_late
NCT03044249,CRU trials_12Sep2023.xlsx,2021-03-05,2017-01-31,2021-01-29,Interventional,Phase 2,81,Terminated,A Study of MP-101 in Dementia-Related Psychosis and/or Agitation and Aggression,2017-05-04T00:00:00Z,2020-01-30T00:00:00Z,2020-01-30T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,2017,2017,2020,TRUE,2023-11-11,2021-01-29,TRUE,365,TRUE,results_timely
NCT03068754,CRU trials_12Sep2023.xlsx,2020-09-18,2017-02-23,2020-08-14,Interventional,Phase 2/Phase 3,143,Terminated,Study of Acthar® Gel (Acthar) for Amyotrophic Lateral Sclerosis (ALS),2017-06-22T00:00:00Z,2019-11-25T00:00:00Z,2019-11-25T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,2017,2017,2019,TRUE,2023-11-11,2020-11-24,TRUE,263,TRUE,results_timely
NCT03070119,CRU trials_12Sep2023.xlsx,2023-05-19,2017-02-28,NA,Interventional,Phase 3,138,"Active, not recruiting",Long-Term Evaluation of BIIB067 (Tofersen),2017-03-08T00:00:00Z,2024-06-13T00:00:00Z,2024-06-13T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,TRUE,2017,2017,2024,TRUE,2023-11-11,2025-06-13,FALSE,NA,NA,results_not_due
NCT03083665,CRU trials_12Sep2023.xlsx,2023-11-08,2017-02-28,2022-12-15,Interventional,Phase 3,449,Completed,A Study to Evaluate the Efficacy and Safety of Brivaracetam in Study Participants (>=16 to 80 Years of Age) With Epilepsy,2017-08-22T00:00:00Z,2022-06-30T00:00:00Z,2022-06-30T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2017,2017,2022,TRUE,2023-11-11,2023-06-30,TRUE,168,TRUE,results_timely
NCT03085810,CRU trials_12Sep2023.xlsx,2023-10-23,2017-03-16,NA,Interventional,Phase 3,1239,Completed,Study to Evaluate the Effectiveness and Safety of Ocrelizumab in Participants With Early Stage Relapsing Remitting Multiple Sclerosis (RRMS),2017-03-24T00:00:00Z,2023-04-27T00:00:00Z,2023-04-27T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,2017,2017,2023,TRUE,2023-11-11,2024-04-26,FALSE,NA,NA,results_not_due
NCT03090789,CRU trials_12Sep2023.xlsx,2023-09-26,2017-03-10,NA,Observational,NA,2000,Recruiting,FA Clinical Outcome Measures,2001-01-01T00:00:00Z,2030-01-01T00:00:00Z,2030-01-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,2017,2001,2030,FALSE,2023-11-11,2031-01-01,FALSE,NA,NA,results_not_due
NCT03098511,CRU trials_12Sep2023.xlsx,2023-05-03,2017-03-22,NA,Interventional,Not Applicable,333,"Active, not recruiting",CT-Perfusion for Neurological Diagnostic Evaluation,2017-04-25T00:00:00Z,2023-08-31T00:00:00Z,2023-08-31T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,2017,2017,2023,TRUE,2023-11-11,2024-08-30,FALSE,NA,NA,results_not_due
NCT03160898,CRU trials_12Sep2023.xlsx,2020-08-21,2017-05-12,2020-08-05,Interventional,Phase 2,458,Completed,"A Study to Evaluate Efficacy, Safety and Tolerability of CK-2127107 in Patients With Amyotrophic Lateral Sclerosis (ALS)",2017-07-24T00:00:00Z,2019-03-07T00:00:00Z,2019-03-07T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2017,2017,2019,TRUE,2023-11-11,2020-03-06,TRUE,517,FALSE,results_due_late
NCT03179501,CRU trials_12Sep2023.xlsx,2018-10-18,2017-06-05,NA,Interventional,Phase 1,4,Terminated,"NP001, Alzheimer's Disease, and Blood Markers of Inflammation",2017-09-01T00:00:00Z,2018-07-31T00:00:00Z,2018-07-31T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,2017,2017,2018,TRUE,2023-11-11,2019-07-31,TRUE,NA,NA,results_due_missing
NCT03186989,CRU trials_12Sep2023.xlsx,2023-02-16,2017-06-06,NA,Interventional,Phase 1/Phase 2,46,Completed,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of IONIS-MAPTRx in Patients With Mild Alzheimer's Disease",2017-10-12T00:00:00Z,2022-05-13T00:00:00Z,2022-05-12T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE,2017,2017,2022,TRUE,2023-11-11,2023-05-12,TRUE,NA,NA,results_due_missing
NCT03192332,CRU trials_12Sep2023.xlsx,2023-03-06,2017-06-12,NA,Interventional,Not Applicable,410,Completed,Bridging Thrombolysis Versus Direct Mechanical Thrombectomy in Acute Ischemic Stroke,2017-11-29T00:00:00Z,2021-08-11T00:00:00Z,2021-05-14T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,2017,2017,2021,TRUE,2023-11-11,2022-05-14,TRUE,NA,NA,results_due_missing
NCT03260920,TheNeuro_registered_clinical_trials.csv;CRU trials_12Sep2023.xlsx,2023-10-04,2017-07-19,NA,Interventional,Phase 2,112,"Active, not recruiting",Intranasal Oxytocin for Frontotemporal Dementia,2018-01-31T00:00:00Z,2024-12-31T00:00:00Z,2023-06-30T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,TRUE,2017,2018,2024,TRUE,2023-11-11,2024-06-29,FALSE,NA,NA,results_not_due
NCT03309579,CRU trials_12Sep2023.xlsx,2023-04-20,2017-10-10,NA,Interventional,Not Applicable,740,Recruiting,SAHaRA: A Randomized Controlled Trial,2018-02-12T00:00:00Z,2024-09-01T00:00:00Z,2023-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,2017,2018,2024,TRUE,2023-11-11,2024-08-31,FALSE,NA,NA,results_not_due
NCT03315130,CRU trials_12Sep2023.xlsx,2022-07-26,2017-10-16,2022-05-31,Interventional,Phase 2,45,Completed,Safety and Efficacy Study of RA101495 in Subjects With Generalized Myasthenia Gravis,2017-10-11T00:00:00Z,2020-11-19T00:00:00Z,2018-12-10T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2017,2017,2020,TRUE,2023-11-11,2019-12-10,TRUE,1268,FALSE,results_due_late
NCT03318523,CRU trials_12Sep2023.xlsx,2022-02-15,2017-10-19,2021-10-25,Interventional,Phase 2,357,Terminated,"Evaluating the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of BIIB054 in Participants With Parkinson's Disease",2018-01-10T00:00:00Z,2021-04-29T00:00:00Z,2020-10-26T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2017,2018,2021,TRUE,2023-11-11,2021-10-26,TRUE,364,TRUE,results_timely
NCT03362658,CRU trials_12Sep2023.xlsx,2023-01-24,2017-10-18,NA,Observational,NA,700,Recruiting,Novel MRI Biomarkers for Monitoring Disease Progression in ALS,2016-10-01T00:00:00Z,2023-12-01T00:00:00Z,2023-12-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,2017,2016,2023,FALSE,2023-11-11,2024-11-30,FALSE,NA,NA,results_not_due
NCT03364036,CRU trials_12Sep2023.xlsx,2023-02-20,2017-12-01,2021-05-04,Interventional,Phase 4,270,Completed,Evaluation of the Onset of Action in Highly Active MS (MAGNIFY),2018-05-28T00:00:00Z,2022-02-21T00:00:00Z,2020-05-05T00:00:00Z,TRUE,NA,None (Open Label),INDUSTRY,TRUE,2017,2018,2022,TRUE,2023-11-11,2021-05-05,TRUE,364,TRUE,results_timely
NCT03402919,CRU trials_12Sep2023.xlsx,2019-10-02,2018-01-11,NA,Observational,NA,2300,Unknown status,Comprehensive Assessment of Neurodegeneration and Dementia,2016-06-01T00:00:00Z,2023-09-01T00:00:00Z,2023-09-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,2018,2016,2023,FALSE,2023-11-11,2024-08-31,FALSE,NA,NA,results_not_due
NCT03478982,CRU trials_12Sep2023.xlsx,2021-02-02,2018-03-07,2020-12-16,Interventional,Phase 2,156,Completed,"Inpatient, Dose-Ranging Study of Staccato Alprazolam in Epilepsy With Predictable Seizure Pattern",2018-03-16T00:00:00Z,2020-01-04T00:00:00Z,2019-12-22T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2018,2018,2020,TRUE,2023-11-11,2020-12-21,TRUE,360,TRUE,results_timely
NCT03504917,CRU trials_12Sep2023.xlsx,2021-10-26,2018-04-12,2021-03-02,Interventional,Phase 3,322,Terminated,A Study of Balovaptan in Adults With Autism Spectrum Disorder With a 2-Year Open-Label Extension,2018-08-08T00:00:00Z,2020-07-01T00:00:00Z,2020-03-04T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,2018,2018,2020,TRUE,2023-11-11,2021-03-04,TRUE,363,TRUE,results_timely
NCT03505021,CRU trials_12Sep2023.xlsx,2022-04-22,2018-04-16,2021-07-01,Interventional,Phase 3,496,Completed,Effects of Oral Levosimendan (ODM-109) on Respiratory Function in Patients With ALS,2018-06-21T00:00:00Z,2020-07-23T00:00:00Z,2020-07-23T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2018,2018,2020,TRUE,2023-11-11,2021-07-23,TRUE,343,TRUE,results_timely
NCT03529045,CRU trials_12Sep2023.xlsx,2023-05-22,2018-02-22,NA,Observational,NA,2000,"Active, not recruiting",Registry of Subjects With Drug Resistant Epilepsy and Treated With the VNS Therapy System.,2018-02-05T00:00:00Z,2025-04-30T00:00:00Z,2024-10-30T00:00:00Z,FALSE,NA,NA,INDUSTRY,TRUE,2018,2018,2025,TRUE,2023-11-11,2025-10-30,FALSE,NA,NA,results_not_due
NCT03599245,CRU trials_12Sep2023.xlsx,2023-10-25,2018-06-25,NA,Interventional,Phase 3,1500,"Active, not recruiting",This is an Extension Study of the Roche P-trials to Investigate Safety and Effectiveness of Ocrelizumab in Participants With Multiple Sclerosis (MS),2018-07-12T00:00:00Z,2025-03-11T00:00:00Z,2025-02-23T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,2018,2018,2025,TRUE,2023-11-11,2026-02-23,FALSE,NA,NA,results_not_due
NCT03626012,CRU trials_12Sep2023.xlsx,2022-01-13,2018-08-07,NA,Interventional,Phase 1,106,Completed,"A Study to Assess the Safety, Tolerability, and Pharmacokinetics of BIIB078 in Adults With C9ORF72-Associated Amyotrophic Lateral Sclerosis",2018-09-10T00:00:00Z,2021-11-17T00:00:00Z,2021-11-17T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,2018,2018,2021,TRUE,2023-11-11,2022-11-17,TRUE,NA,NA,results_due_missing
NCT03650114,CRU trials_12Sep2023.xlsx,2023-09-29,2018-08-17,NA,Interventional,Phase 3,2060,Recruiting,"Long-term Safety, Tolerability and Effectiveness Study of Ofatumumab in Patients With Relapsing MS",2018-12-28T00:00:00Z,2028-09-07T00:00:00Z,2027-12-30T00:00:00Z,FALSE,NA,None (Open Label),INDUSTRY,TRUE,2018,2018,2028,TRUE,2023-11-11,2028-12-29,FALSE,NA,NA,results_not_due
NCT03655236,CRU trials_12Sep2023.xlsx,2023-07-24,2018-08-18,NA,Interventional,Phase 2,504,Recruiting,PROSEEK: A Phase 2 Study In Early Parkinson's Disease Patients Evaluating The Safety And Efficacy Of Abl Tyrosine Kinase Inhibition Using K0706,2019-02-18T00:00:00Z,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,2018,2019,2024,TRUE,2023-11-11,2025-03-01,FALSE,NA,NA,results_not_due
NCT03661528,CRU trials_12Sep2023.xlsx,2023-09-11,2018-08-30,NA,Interventional,Phase 4,530,Completed,Trial of Andexanet Alfa in ICrH Patients Receiving an Oral FXa Inhibitor,2019-06-06T00:00:00Z,2023-08-09T00:00:00Z,2023-05-27T00:00:00Z,FALSE,Randomized,Single,INDUSTRY,TRUE,2018,2019,2023,TRUE,2023-11-11,2024-05-26,FALSE,NA,NA,results_not_due
NCT03689972,CRU trials_12Sep2023.xlsx,2023-08-17,2018-09-27,NA,Interventional,Phase 3,500,Completed,"A Study to Evaluate Efficacy, Safety, and Tolerability of EID of Natalizumab (BG00002) in Participants With RRMS Switching From Treatment With Natalizumab SID in Relation to Continued SID Treatment- Followed by Extension Study Comprising SC and IV Natalizumab Administration",2018-11-27T00:00:00Z,2023-07-24T00:00:00Z,2023-01-31T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,2018,2018,2023,TRUE,2023-11-11,2024-01-31,FALSE,NA,NA,results_not_due
NCT03709784,CRU trials_12Sep2023.xlsx,2022-09-19,2018-10-15,NA,Observational,NA,48,"Active, not recruiting",Spinraza in Adult Spinal Muscular Atrophy,2018-08-16T00:00:00Z,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,2018,2018,2024,FALSE,2023-11-11,2024-12-31,FALSE,NA,NA,results_not_due
NCT03737812,CRU trials_12Sep2023.xlsx,2021-12-15,2018-11-06,NA,Interventional,Phase 2,123,Completed,A Study to Assess the Safety and Efficacy of Elezanumab When Added to Standard of Care in Progressive Forms of Multiple Sclerosis,2019-02-27T00:00:00Z,2021-08-30T00:00:00Z,2021-01-15T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE,2018,2019,2021,TRUE,2023-11-11,2022-01-15,TRUE,NA,NA,results_due_missing
NCT03737851,CRU trials_12Sep2023.xlsx,2021-12-01,2018-11-06,NA,Interventional,Phase 2,208,Completed,A Study to Assess the Safety and Efficacy of Elezanumab When Added to Standard of Care in Relapsing Forms of Multiple Sclerosis,2018-12-11T00:00:00Z,2021-09-09T00:00:00Z,2021-01-07T00:00:00Z,FALSE,Randomized,Double,INDUSTRY,TRUE,2018,2018,2021,TRUE,2023-11-11,2022-01-07,TRUE,NA,NA,results_due_missing
NCT03750552,CRU trials_12Sep2023.xlsx,2022-08-18,2018-11-20,2022-07-20,Interventional,Phase 3,195,Completed,Clinical Effect of Ampreloxetine (TD-9855) for Treating Symptomatic nOH in Subjects With Primary Autonomic Failure,2019-01-24T00:00:00Z,2021-07-21T00:00:00Z,2021-07-21T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,2018,2019,2021,TRUE,2023-11-11,2022-07-21,TRUE,364,TRUE,results_timely
